,AgeGroup,Gender,MaritalStatus,Attrition,BusinessTravel,DistanceFrom_Home,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,HourlyRate,DailyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
26,30-39,Female,Single,Yes,Travel Frequently,Close,Research & Development,Below College,Life Sciences,Medium,Low,Lvl 1,Research Scientist,Low,72,1125,3919,4681,1,Yes,22,Outstanding,Medium,80,Lvl 0,11-20 years,5 years,Better,11-20 years,2 years,6 years,7 years
27,40-49,Male,Married,No,Travel Rarely,Very Close,Sales,Master,Marketing,High,High,Lvl 2,Sales Executive,Medium,48,691,6825,21173,0,No,11,Excellent,Very High,80,Lvl 1,11-20 years,2 years,Better,0-10 years,7 years,4 years,2 years
28,40-49,Female,Married,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Low,Medium,Lvl 3,Healthcare Representative,Very High,42,477,10248,2094,3,No,14,Excellent,Very High,80,Lvl 1,21-29 years,4 years,Better,21-29 years,6 years,5 years,17 years
29,40-49,Female,Single,No,Travel Rarely,Very Close,Sales,Master,Marketing,Medium,High,Lvl 5,Manager,Low,83,705,18947,22822,3,No,12,Excellent,Very High,80,Lvl 0,21-29 years,2 years,Good,0-10 years,2 years,2 years,1 years
30,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,High,High,Lvl 1,Laboratory Technician,Very High,78,924,2496,6670,4,No,11,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,1 years,0 year,0 year
31,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Other,Very High,High,Lvl 2,Healthcare Representative,Very High,41,1459,6465,19121,2,Yes,13,Excellent,Very High,80,Lvl 0,0-10 years,5 years,Best,0-10 years,2 years,1 years,3 years
32,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,College,Medical,Very High,Medium,Lvl 1,Laboratory Technician,High,83,125,2206,16117,1,No,13,Excellent,Low,80,Lvl 0,11-20 years,5 years,Better,11-20 years,0 year,1 years,8 years
33,30-39,Male,Married,Yes,Travel Rarely,Very Close,Sales,Bachelor,Technical Degree,Very High,High,Lvl 2,Sales Representative,Very High,56,895,2086,3335,3,No,14,Excellent,High,80,Lvl 1,11-20 years,6 years,Best,0-10 years,0 year,0 year,0 year
34,20-29,Male,Married,Yes,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Medium,High,Lvl 1,Research Scientist,Very High,61,813,2293,3020,2,Yes,16,Excellent,Low,80,Lvl 1,0-10 years,2 years,Good,0-10 years,0 year,2 years,0 year
35,40-49,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Medical,Very High,Very High,Lvl 1,Research Scientist,High,72,1273,2645,21923,1,No,12,Excellent,Very High,80,Lvl 2,0-10 years,3 years,Good,0-10 years,3 years,1 years,4 years
36,50-59,Male,Married,Yes,Travel Rarely,Very Close,Sales,College,Marketing,Low,Medium,Lvl 1,Sales Representative,High,86,869,2683,3810,1,Yes,14,Excellent,High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,2 years,0 year,2 years
37,30-39,Female,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,Very High,High,Lvl 1,Sales Representative,Very High,97,890,2014,9687,1,No,13,Excellent,Low,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,2 years,2 years
38,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Medium,Medium,Lvl 1,Research Scientist,Low,82,852,3419,13072,9,Yes,14,Excellent,Very High,80,Lvl 1,0-10 years,3 years,Best,0-10 years,1 years,0 year,0 year
39,30-39,Female,Married,No,Travel Frequently,Very Close,Sales,Bachelor,Life Sciences,High,Very High,Lvl 2,Sales Executive,Low,42,1141,5376,3193,2,No,19,Excellent,Low,80,Lvl 2,11-20 years,3 years,Better,0-10 years,3 years,1 years,3 years
40,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Other,High,High,Lvl 1,Laboratory Technician,Very High,75,464,1951,10910,1,No,12,Excellent,High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
41,20-29,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Very High,High,Lvl 1,Laboratory Technician,Low,33,1240,2341,19715,1,No,13,Excellent,Very High,80,Lvl 1,0-10 years,6 years,Better,0-10 years,0 year,0 year,0 year
42,20-29,Male,Single,Yes,Travel Rarely,Far,Research & Development,Bachelor,Life Sciences,Low,Low,Lvl 1,Laboratory Technician,High,48,1357,2293,10558,1,No,12,Excellent,High,80,Lvl 0,0-10 years,2 years,Good,0-10 years,0 year,0 year,1 years
43,20-29,Male,Single,No,Travel Frequently,Very Close,Sales,Bachelor,Life Sciences,Very High,High,Lvl 3,Sales Executive,High,37,994,8726,2975,1,No,15,Excellent,Very High,80,Lvl 0,0-10 years,0 year,Better,0-10 years,8 years,1 years,7 years
44,30-39,Female,Single,No,Travel Frequently,Very Close,Research & Development,College,Medical,High,High,Lvl 2,Laboratory Technician,Very High,58,721,4011,10781,1,No,23,Outstanding,Very High,80,Lvl 0,11-20 years,2 years,Better,11-20 years,8 years,3 years,7 years
45,40-49,Female,Married,Yes,Travel Rarely,Close,Research & Development,Bachelor,Technical Degree,Medium,High,Lvl 5,Research Director,High,49,1360,19545,16280,1,No,12,Excellent,Very High,80,Lvl 0,21-29 years,0 year,Better,21-29 years,15 years,15 years,8 years
46,30-39,Male,Single,No,Non Travel,Far,Sales,Master,Marketing,Medium,High,Lvl 2,Sales Executive,High,72,1065,4568,10034,0,No,20,Outstanding,High,80,Lvl 0,11-20 years,2 years,Better,0-10 years,5 years,8 years,7 years
47,30-39,Male,Married,No,Travel Rarely,Close,Research & Development,College,Life Sciences,Medium,High,Lvl 1,Research Scientist,Medium,73,408,3022,10227,4,No,21,Outstanding,Low,80,Lvl 0,0-10 years,1 years,Better,0-10 years,0 year,0 year,0 year
48,40-49,Male,Single,No,Travel Frequently,Very Close,Sales,Master,Marketing,Low,High,Lvl 2,Sales Executive,Very High,98,1211,5772,20445,4,Yes,21,Outstanding,High,80,Lvl 0,11-20 years,4 years,Better,0-10 years,6 years,0 year,8 years
49,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Life Sciences,Very High,Very High,Lvl 1,Laboratory Technician,Very High,36,1229,2269,4892,1,No,19,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,0 year,0 year,1 years
50,40-49,Male,Single,Yes,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Low,Medium,Lvl 3,Laboratory Technician,High,98,626,5381,19294,9,Yes,13,Excellent,Very High,80,Lvl 0,21-29 years,2 years,Better,0-10 years,0 year,0 year,0 year
51,20-29,Male,Single,Yes,Travel Rarely,Very Close,Research & Development,Master,Technical Degree,High,High,Lvl 1,Laboratory Technician,High,50,1434,3441,11179,1,Yes,13,Excellent,High,80,Lvl 0,0-10 years,3 years,Good,0-10 years,2 years,2 years,2 years
52,40-49,Female,Divorced,No,Travel Rarely,Very Close,Sales,Doctor,Marketing,Medium,High,Lvl 2,Sales Executive,Low,75,1488,5454,4009,5,Yes,21,Outstanding,High,80,Lvl 1,0-10 years,2 years,Good,0-10 years,3 years,1 years,3 years
53,30-39,Male,Married,No,Non Travel,Close,Research & Development,College,Medical,High,Medium,Lvl 3,Healthcare Representative,Low,79,1097,9884,8302,2,Yes,13,Excellent,High,80,Lvl 1,11-20 years,3 years,Better,0-10 years,0 year,2 years,3 years
54,20-29,Female,Married,No,Travel Rarely,Far,Sales,Bachelor,Marketing,High,Medium,Lvl 2,Sales Executive,Very High,47,1443,4157,21436,7,Yes,19,Excellent,High,80,Lvl 1,0-10 years,2 years,Good,0-10 years,2 years,0 year,0 year
55,30-39,Female,Single,No,Travel Frequently,Very Close,Research & Development,College,Life Sciences,Low,High,Lvl 3,Research Director,Very High,98,515,13458,15146,1,Yes,12,Excellent,High,80,Lvl 0,11-20 years,1 years,Better,11-20 years,14 years,8 years,12 years
56,30-39,Male,Married,No,Travel Frequently,Close,Sales,Doctor,Life Sciences,Medium,High,Lvl 3,Sales Executive,Low,71,853,9069,11031,1,No,22,Outstanding,Very High,80,Lvl 1,0-10 years,3 years,Good,0-10 years,8 years,1 years,8 years
57,30-39,Female,Married,No,Travel Rarely,Far,Research & Development,Master,Medical,High,High,Lvl 1,Laboratory Technician,Low,30,1142,4014,16002,3,Yes,15,Excellent,High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,2 years,2 years,2 years
58,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Very High,High,Lvl 2,Laboratory Technician,Very High,48,655,5915,9528,3,No,22,Outstanding,Very High,80,Lvl 1,11-20 years,3 years,Good,0-10 years,7 years,1 years,7 years
59,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Low,Medium,Lvl 2,Manufacturing Director,High,51,1115,5993,2689,1,No,18,Excellent,High,80,Lvl 1,0-10 years,2 years,Best,0-10 years,5 years,0 year,7 years
60,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Low,High,Lvl 2,Manufacturing Director,Very High,33,427,6162,10877,1,Yes,22,Outstanding,Medium,80,Lvl 1,0-10 years,3 years,Better,0-10 years,8 years,7 years,8 years
61,30-39,Female,Single,No,Travel Frequently,Far,Research & Development,Doctor,Life Sciences,Very High,High,Lvl 2,Laboratory Technician,Very High,50,653,2406,5456,1,No,11,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Better,11-20 years,3 years,9 years,9 years
62,50-59,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Medical,Medium,Medium,Lvl 5,Research Director,High,43,989,18740,16701,5,Yes,12,Excellent,Very High,80,Lvl 1,21-29 years,2 years,Good,21-29 years,3 years,13 years,8 years
63,50-59,Female,Single,No,Travel Rarely,Far,Sales,Bachelor,Life Sciences,Low,High,Lvl 3,Sales Executive,Low,99,1435,7637,2354,7,No,11,Excellent,Very High,80,Lvl 0,21-29 years,3 years,Good,21-29 years,16 years,7 years,9 years
64,30-39,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Technical Degree,High,High,Lvl 3,Healthcare Representative,High,59,1223,10096,8202,1,No,13,Excellent,Medium,80,Lvl 3,11-20 years,2 years,Better,11-20 years,14 years,12 years,8 years
65,50-59,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Very High,High,Lvl 4,Manager,High,33,836,14756,19730,2,Yes,14,Excellent,High,80,Lvl 3,21-29 years,2 years,Better,0-10 years,0 year,0 year,2 years
66,30-39,Male,Single,No,Travel Frequently,Close,Research & Development,Bachelor,Life Sciences,Medium,Medium,Lvl 2,Manufacturing Director,Medium,95,1195,6499,22656,1,No,13,Excellent,High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,5 years,0 year,3 years
67,40-49,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Medium,High,Lvl 3,Research Scientist,Low,59,1339,9724,18787,2,No,17,Excellent,High,80,Lvl 1,21-29 years,2 years,Better,0-10 years,0 year,0 year,0 year
68,30-39,Male,Married,No,Travel Frequently,Very Close,Research & Development,Bachelor,Medical,Medium,High,Lvl 1,Research Scientist,Low,79,664,2194,5868,4,No,13,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Good,0-10 years,2 years,1 years,2 years
69,30-39,Male,Married,Yes,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Very High,Medium,Lvl 1,Research Scientist,High,79,318,3388,21777,0,Yes,17,Excellent,Low,80,Lvl 1,0-10 years,0 year,Good,0-10 years,0 year,0 year,0 year
70,50-59,Female,Single,No,Travel Frequently,Very Close,Sales,Below College,Life Sciences,Low,Medium,Lvl 2,Sales Executive,High,57,1225,5473,24668,7,No,11,Excellent,Very High,80,Lvl 0,21-29 years,2 years,Good,0-10 years,3 years,1 years,3 years
71,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 1,Research Scientist,Medium,76,1328,2703,4956,0,No,23,Outstanding,Very High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,4 years,0 year,4 years
72,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Master,Medical,High,High,Lvl 1,Research Scientist,Medium,87,1082,2501,18775,1,No,17,Excellent,Medium,80,Lvl 0,0-10 years,4 years,Better,0-10 years,1 years,1 years,0 year
73,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Medium,High,Lvl 2,Research Scientist,Medium,66,548,6220,7346,1,No,17,Excellent,Medium,80,Lvl 2,11-20 years,3 years,Better,11-20 years,4 years,0 year,9 years
74,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Medium,Very High,Lvl 1,Laboratory Technician,Very High,55,132,3038,22002,3,No,12,Excellent,Medium,80,Lvl 0,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
75,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,High,High,Lvl 2,Manufacturing Director,Very High,61,746,4424,20682,1,No,23,Outstanding,Very High,80,Lvl 0,11-20 years,2 years,Better,11-20 years,7 years,1 years,8 years
76,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,Master,Marketing,High,Medium,Lvl 2,Sales Executive,Low,32,776,4312,23016,0,No,14,Excellent,Medium,80,Lvl 0,11-20 years,2 years,Better,11-20 years,13 years,2 years,8 years
77,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Other,Very High,High,Lvl 3,Research Director,Low,52,193,13245,15067,4,Yes,14,Excellent,Medium,80,Lvl 0,11-20 years,3 years,Best,0-10 years,0 year,0 year,0 year
78,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Low,High,Lvl 3,Research Director,High,30,397,13664,25258,4,No,13,Excellent,Low,80,Lvl 0,11-20 years,3 years,Best,0-10 years,2 years,0 year,2 years
79,40-49,Male,Divorced,No,Travel Rarely,Very Close,Human Resources,College,Medical,Medium,High,Lvl 2,Human Resources,Medium,80,945,5021,10425,8,Yes,22,Outstanding,Very High,80,Lvl 1,11-20 years,2 years,Better,0-10 years,2 years,0 year,2 years
80,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Life Sciences,Very High,Medium,Lvl 2,Laboratory Technician,Very High,55,852,5126,15998,1,Yes,12,Excellent,High,80,Lvl 2,11-20 years,1 years,Good,11-20 years,8 years,3 years,0 year
81,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Medium,Medium,Lvl 1,Research Scientist,High,30,1214,2859,26278,1,No,18,Excellent,Low,80,Lvl 0,0-10 years,3 years,Better,0-10 years,4 years,0 year,4 years
82,50-59,Male,Married,No,Travel Rarely,Very Close,Sales,College,Life Sciences,Low,High,Lvl 3,Sales Executive,Very High,70,111,10239,18092,3,No,14,Excellent,Very High,80,Lvl 1,21-29 years,4 years,Better,0-10 years,0 year,1 years,0 year
83,30-39,Female,Divorced,No,Non Travel,Very Close,Research & Development,Bachelor,Medical,Medium,Low,Lvl 2,Research Scientist,Very High,79,573,5329,15717,7,Yes,12,Excellent,Very High,80,Lvl 3,11-20 years,3 years,Better,11-20 years,11 years,1 years,9 years
84,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Medical,Low,High,Lvl 2,Manufacturing Director,Medium,94,1153,4325,17736,1,No,15,Excellent,High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,2 years,1 years,3 years
85,50-59,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,Low,Lvl 3,Manufacturing Director,Very High,49,1400,7260,21698,4,No,11,Excellent,Low,80,Lvl 0,31-40 years,3 years,Good,0-10 years,4 years,0 year,2 years
86,20-29,Male,Divorced,No,Travel Rarely,Very Close,Sales,Below College,Technical Degree,High,High,Lvl 1,Sales Representative,Low,62,541,2322,9518,3,No,13,Excellent,High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
87,50-59,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Very High,High,Lvl 1,Laboratory Technician,Very High,96,432,2075,18725,3,No,23,Outstanding,Medium,80,Lvl 2,11-20 years,4 years,Better,0-10 years,2 years,0 year,3 years
88,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,Medium,Lvl 2,Healthcare Representative,Very High,99,288,4152,15830,1,No,19,Excellent,Low,80,Lvl 3,11-20 years,3 years,Better,11-20 years,10 years,10 years,8 years
89,40-49,Male,Single,Yes,Travel Rarely,Very Close,Sales,College,Medical,High,Medium,Lvl 3,Sales Executive,Very High,64,669,9619,13596,1,No,16,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,8 years,4 years,7 years
90,40-49,Male,Married,No,Travel Frequently,Very Close,Research & Development,Master,Life Sciences,High,Medium,Lvl 4,Healthcare Representative,Medium,78,530,13503,14115,1,No,22,Outstanding,Very High,80,Lvl 1,21-29 years,3 years,Good,21-29 years,3 years,11 years,11 years
91,50-59,Male,Single,No,Travel Rarely,Far,Sales,Master,Marketing,High,High,Lvl 2,Sales Executive,Very High,71,632,5441,8423,0,Yes,22,Outstanding,Very High,80,Lvl 0,11-20 years,2 years,Bad,11-20 years,7 years,1 years,0 year
92,30-39,Female,Divorced,No,Travel Rarely,Very Close,Sales,College,Medical,High,Medium,Lvl 2,Sales Executive,Medium,63,1334,5209,19760,1,Yes,12,Excellent,Medium,80,Lvl 3,11-20 years,4 years,Good,11-20 years,8 years,2 years,7 years
93,40-49,Male,Married,No,Travel Frequently,Very Close,Research & Development,Bachelor,Medical,High,Medium,Lvl 3,Healthcare Representative,Low,40,638,10673,3142,2,Yes,13,Excellent,High,80,Lvl 1,21-29 years,5 years,Good,11-20 years,9 years,9 years,5 years
94,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,Master,Medical,Medium,High,Lvl 2,Sales Executive,High,87,1093,5010,24301,1,No,16,Excellent,Low,80,Lvl 0,11-20 years,0 year,Better,11-20 years,8 years,5 years,7 years
95,50-59,Female,Married,No,Travel Rarely,Very Close,Research & Development,Master,Technical Degree,Low,High,Lvl 3,Research Director,High,60,1217,13549,24001,9,No,12,Excellent,Low,80,Lvl 1,11-20 years,5 years,Bad,0-10 years,3 years,0 year,3 years
96,20-29,Female,Married,No,Travel Rarely,Very Close,Sales,College,Other,Low,High,Lvl 2,Sales Executive,High,33,1353,4999,17519,0,No,21,Outstanding,Low,80,Lvl 1,0-10 years,2 years,Good,0-10 years,2 years,0 year,2 years
97,20-29,Male,Married,No,Non Travel,Very Close,Sales,Bachelor,Medical,Medium,High,Lvl 2,Sales Executive,High,43,120,4221,8863,1,No,15,Excellent,Medium,80,Lvl 0,0-10 years,3 years,Best,0-10 years,4 years,0 year,4 years
98,50-59,Male,Single,No,Travel Rarely,Very Close,Sales,Master,Medical,Very High,High,Lvl 4,Sales Executive,High,37,682,13872,24409,0,No,13,Excellent,High,80,Lvl 0,31-40 years,1 years,Good,31-40 years,10 years,1 years,8 years
99,40-49,Male,Married,No,Non Travel,Far,Research & Development,Bachelor,Medical,Medium,High,Lvl 2,Laboratory Technician,Medium,67,489,2042,25043,4,No,12,Excellent,High,80,Lvl 1,11-20 years,3 years,Best,0-10 years,2 years,1 years,2 years
100,30-39,Male,Divorced,Yes,Travel Rarely,Very Close,Human Resources,Master,Human Resources,High,High,Lvl 1,Human Resources,Low,63,807,2073,23648,4,Yes,22,Outstanding,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,0 year,2 years
101,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Below College,Life Sciences,Very High,High,Lvl 1,Research Scientist,Low,71,827,2956,15178,1,No,13,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
